smiles,homo,lumo,hl
C[C@@H](O)[C@H](Nc1nc(N)c([N][O])c(=O)n1C)C(=O)O,-4.35408,-2.99503,1.35905
C[Si]1(C)CCS(=O)(=O)CC1,-6.52066,-0.78692,5.73374
Cc1cn(C(C)C)c(=S)n1-c1ccccc1,-4.31717,-1.54038,2.77679
Cn1c2c(c3ccccc31)[C@@H]1c3ccccc3OC[C@@H]1CS2,-4.61974,-1.32949,3.29025
O=C1C[C@@H]2CCC[C@@H]2C(=O)C[C@@H]2CCC[C@H]12,-5.4753,-2.1575,3.3178
O=C(O)CNS(=O)(=O)c1ccccc1,-6.43199,-2.17987,4.25212
O=C[C@@H]1CC[C@H]2CC(=O)C=C[C@@H]2[C@H]1c1ccccc1,-5.5855,-2.71132,2.87418
O=c1cccc2n1C[C@H]1C[C@@H]2CN(C(=S)NCCO)C1,-4.86465,-2.36742,2.49723
CN1C(=O)N(C)[C@H]2[C@@H]1NC(=O)N2C(C)(C)C(=O)O,-5.78244,-1.03214,4.7503
O=C1N[C@H](N2C(=O)[C@H]3CC[C@@H](Br)[C@@H]2O3)[C@H]2CC[C@@H]1O2,-5.71021,-1.54115,4.16906
Cn1c(-c2ccccc2)cc2c1C1=NON([O])C1=C[C]2[N+](=O)[O-],-5.6102,-3.94869,1.66151
Cc1ccccc1NC(=O)Cn1cccn1,-5.43745,-1.57804,3.85941
O=C(NC(=S)N1CCCC[C@H]1c1cccnc1)c1ccco1,-5.10374,-2.70445,2.39929
O=C1OC[C@H]2[C@@H](OCc3ccccc3)CCCN12,-5.6081,-1.49674,4.11136
COc1ccc(/N=C/c2c(SC)ccc3ccccc23)cc1,-4.81071,-2.67375,2.13696
CC(C)COc1cccc(Nc2ccccn2)c1,-4.87926,-1.60744,3.27182
CC1(C)C[C@@H](N)C[C@@](C)(CN)C1,-5.32794,-0.54328,4.78466
COc1ccc([C@H](CO)[C@H](O)c2ccccc2)cc1,-5.23765,-1.26563,3.97202
Br[C@H]1CC[C@@H](Br)[C@H](Br)CC[C@H](Br)[C@H](Br)CC[C@H]1Br,-6.81226,-2.14186,4.6704
C=CCNC(=S)N/N=C(\C)c1ccccn1,-5.11465,-2.74371,2.37094
NC(=O)c1cccc2cc(-c3ccccc3)cnc12,-5.58797,-2.98505,2.60292
NC(=O)c1cccc2cc(-c3ccccc3C(F)(F)F)cnc12,-5.61264,-3.04881,2.56383
O=[N+]([O-])c1ccc(N2B(O)c3ccccc3NC2=S)cc1,-5.37359,-3.68832,1.68527
O=C(Nc1ccccc1)Nc1ccc([N+](=O)[O-])cc1,-5.75329,-3.28018,2.47311
CCS[C@@H]1CCC(=O)N1S(=O)(=O)c1ccccc1,-5.52995,-2.20543,3.32452
O[C@H]1C[C@]2(O)C[C@@H](O)[C@H](O)C[C@@]2(F)C[C@@H]1O,-5.54498,-1.15863,4.38635
O=C1[C@@H]2[C@@H]3N[C@@H](c4cscc43)[C@@H]2C(=O)N1c1ccccc1,-5.77735,-1.84698,3.93037
N#CC(C#N)[C@H](/C=C/c1ccccc1)CC(=O)c1ccccc1,-5.87984,-3.19416,2.68568
Cc1ccc(NC(=O)Cn2cccn2)cc1,-5.33089,-1.50847,3.82242
COC(=O)C12CCCN(CCC1)S2(=O)=O,-5.96931,-1.52782,4.44149
O=C1[C@@H]2C(=C(c3ccccc3)c3ccccc3)C=C[C@@H]2C1(Cl)Cl,-5.41232,-2.95128,2.46104
O=C(c1ccccc1)c1[nH]c2ccccc2c1-c1ccccc1,-5.30147,-2.86959,2.43188
CCC1=NC(=O)C(C)(C)CNc2ccccc21,-4.99127,-2.0942,2.89707
CC1(C)CCC[C@]2(C)C3=C(CC[C@@H]12)COC3=O,-6.02432,-1.96614,4.05818
c1ccc2c(-c3c[nH]c4ccccc34)c[nH]c2c1,-4.41443,-1.48898,2.92545
CC(C)S[C@H]1CCC(=O)N1S(=O)(=O)c1ccccc1,-5.53254,-2.25591,3.27663
CC(C)(C)c1c2cccc(Cl)c2cc2c(Cl)cccc12,-5.04878,-3.00021,2.04857
C[Si](C)(C)C#Cc1c2cccc(Cl)c2cc2c(Cl)cccc12,-5.1597,-3.21074,1.94896
Oc1c(Br)cc(Cl)cc1/C=N/c1ccccc1Cl,-5.63442,-3.26388,2.37054
CCCCc1c2cccc(Cl)c2cc2c(Cl)cccc12,-5.10044,-2.95551,2.14493
c1ccc(C[C@H]2CN=C(c3ccc4ccccc4c3)O2)cc1,-5.55137,-2.37777,3.1736
COc1ccc(CO[C@@H]2C(I)=CC(=O)[C@@H]3O[C@H]23)cc1,-5.53799,-3.2439,2.29409
CO[C@H]1O[C@H](CO)[C@@H](O)[C@@H]2O[C@H](c3ccccc3)O[C@H]12,-5.89314,-1.50823,4.38491
S=c1sc2ccccc2n1CCSc1nc2ccccc2s1,-5.24816,-2.1981,3.05006
CC(=O)c1ccc([N][N]N2CCOCC2)cc1,-5.39765,-2.77974,2.61791
CC(=O)c1ccc(/C=C/c2ccc(C(C)=O)cc2)cc1,-5.73337,-3.412,2.32137
O=C(N/N=C/c1cc(Cl)cc(Cl)c1O)c1ccc(Cl)nc1,-5.6676,-3.33102,2.33658
Cc1ccc(C[C@H]2CCC(=O)NC2)cc1,-5.44152,-1.33924,4.10228
COC1=Cc2ccnc3c2c(cc2ccccc23)C1=O,-5.63734,-3.52561,2.11173
O=C(O)CCn1c(=O)sc2cc(C(=O)c3ccccc3Cl)ccc21,-5.86455,-2.93306,2.93149
c1ccc2nc3c(cc2c1)COc1ccc2ccccc2c1-3,-5.126,-2.69681,2.42919
COc1ccc2nc3c(cc2c1)COc1ccccc1-3,-5.15481,-2.48916,2.66565
Cn1c(=O)c2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,-4.71401,-2.11524,2.59877
COc1ccc(/C=C/[N+](=O)[O-])cc1,-5.90921,-3.40165,2.50756
O=C1OC[C@@H]2C[C@]12c1ccc(Cl)c(Cl)c1,-6.14927,-1.96123,4.18804
C=C1C=C[C@@]23C=CC(=O)C[C@@H]2C[C@@H]1CC3,-5.45419,-2.56501,2.88918
C[Si](C)(F)Cn1c(=O)ccc2ccccc21,-5.93704,-2.93592,3.00112
O=C1C[C@]23C[C@]2(CC(=O)c2ccccc23)c2ccccc21,-5.78654,-2.88981,2.89673
O=C1C2=C(C(=O)[C@@H]3[C@@H]4C=C[C@@H](C4)[C@H]13)[C@H]1C=C[C@@H]2[C@@H]2C[C@H]12,-5.66811,-3.43011,2.238
CC(C)(C)OC(=O)N1CC[C@H]2OC(=O)C[C@H](O)[C@H]21,-6.01921,-1.07525,4.94396
C1=C[C@H]2[C@@H](O1)O[C@@H]1O[C@H]3O[C@@H]4O[C@@H]5O[C@H]6OC=C[C@H]6[C@@H]5[C@@H]4[C@H]3[C@@H]12,-5.57172,-1.01178,4.55994
NC(=S)N/N=C(/c1ccccc1)c1ccccn1,-4.86916,-2.92267,1.94649
C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@H](C)OO[C@@]32C1,-6.16843,-1.63871,4.52972
Cc1ccccc1/N=C/c1cn(C)c(=O)n(C)c1=O,-5.3285,-2.87794,2.45056
O=C1CC[C@@H]2Cc3sccc3CN12,-5.57758,-1.43041,4.14717
O=[N+]([O-])c1cnc(N2CCCCC2)c([N+](=O)[O-])c1,-6.10697,-3.69506,2.41191
COC(=O)C1=C[C@]2(c3ccccc3)C(=O)NC[C@@H](C)N2O1,-5.2535,-2.32353,2.92997
COC(=O)[C]([C]1CC(C)(C)CN1C)C(=O)C(=O)OC,-5.15001,-2.3026,2.84741
CC(=O)[C@@]12c3ccccc3[C@@H]([C@@H]3O[C@@H]31)N2C(=O)c1ccccc1,-5.72156,-2.06775,3.65381
Cn1ccnc1-c1ccc(C=O)s1,-5.45004,-2.98295,2.46709
C[C@@H](N)[C@@H](O)c1ccccc1,-5.43798,-1.25835,4.17963
COC(=O)[C@]1(c2ccccc2)O[C@@H]2[C@H]1C=CC21CC1,-5.59922,-1.42516,4.17406
BrCc1cc(OCc2ccccc2)cc(OCc2ccccc2)c1,-5.32064,-1.91551,3.40513
COc1ccc(C(=O)[C@H](C)Sc2ccc(Cl)cc2)cc1OC,-5.20291,-2.47457,2.72834
CC(=O)O[C@H]1C[C@H]2C[C@@H]1c1cc([N+](=O)[O-])[n+]([O-])cc12,-5.86423,-3.5744,2.28983
C[Si]1(C)COc2c(ccc3c2C(=O)c2ccccc2C3=O)O1,-5.35911,-3.40627,1.95284
CN1C(=O)[C@@H]2[C@@H]3CCC(=O)N3[C@@H](c3ccccc3)[C@@H]2C1=O,-5.94684,-2.11365,3.83319
C=C[C@@H]1C[C@]2(C(=O)OCC)CCCC[C@]2(O)O1,-6.01575,-0.90051,5.11524
c1ccc(B2c3ccccc3Cc3ccccc32)cc1,-5.92537,-2.66835,3.25702
c1cc2c(cc1-c1ccc3c(c1)CCO3)CCO2,-4.56663,-1.46125,3.10538
COc1ccc([C]2[N]CCN2)cc1,-4.98107,-1.60863,3.37244
c1ccc2c(c1)SC1=NC3=N[C@@H]4Sc5ccccc5N4[S]3N12,-5.33701,-2.53868,2.79833
O=C(O)c1cc(NS(=O)(=O)c2ccccc2)ccc1Cl,-6.12707,-2.8384,3.28867
C/C(=N/Cc1ccncc1)c1cccc2ccccc12,-5.69711,-2.3978,3.29931
COc1ccc(CO[C@@H]2CC[C@H]3CC(=O)N3O2)cc1,-5.51839,-1.28924,4.22915
N[C]1N=C[N]c2c1ncn2[C@H]1CC[C@@H](CO)O1,-5.50707,-1.72486,3.78221
CC(=O)OC[C@H]1O[C@H](Sc2ccccn2)C=C[C@@H]1OC(C)=O,-5.55007,-1.95504,3.59503
C[C@@]12CC[C@]3(CCc4ccccc4[C@]31O)C(=O)O2,-5.88713,-1.77476,4.11237
O=C(O)c1cccc(C(=O)/C=C(\O)c2ccccc2)n1,-5.8598,-3.31896,2.54084
CC1=CCC[C@](C)(CO)[C@@H]1[C@H](C)CO,-5.53612,-0.74115,4.79497
CN1CCCn2c1c(C=O)c1ccccc12,-4.72138,-1.55841,3.16297
CN1CC[C@H]2C(=O)c3cc(Cl)ccc3S[C@@H]2C1,-5.27609,-2.90462,2.37147
CCC[C@]1(S(=O)(=O)c2ccccc2)C[C@@H]2N(C)[C@H]1CCC21OCCO1,-4.59979,-2.10297,2.49682
CC(C)(C)C#CP(=O)(c1ccccc1)c1ccccc1,-6.11449,-2.00131,4.11318
O=C(N/N=C/c1ccccc1[N+](=O)[O-])c1ccccn1,-5.8825,-3.56577,2.31673
COc1ccc(-c2coc3cc(OC)cc(O)c3c2=O)cc1,-5.21775,-2.44337,2.77438
CC(C)(c1ccc(O)cc1)c1ccccc1O,-5.15837,-1.20181,3.95656
O=C(Nc1nccs1)c1ccccc1,-5.52065,-2.57669,2.94396
O=C(SCCSC(=O)c1ccccc1)c1ccccc1,-5.99,-2.71793,3.27207
CC(C)(C(=O)c1ccccc1)n1ccnc1,-5.68262,-2.96331,2.71931
Cc1ccc(OCCCBr)c(Cc2cc(C)ccc2OCCCBr)c1,-5.17482,-1.37733,3.79749
CC(=O)N1N=C(c2ccccc2)O[C@@H]1c1ccc(Cl)c(Cl)c1,-5.39882,-2.61811,2.78071
Cc1ccc(NP2(=O)NCC(C)(C)CN2)cc1,-5.06432,-1.06883,3.99549
CCN(CC)C(=O)/C(C)=N/NC(N)=O,-5.7387,-2.25929,3.47941
c1ccc(C2SCc3ccccc3CS2)cc1,-5.16816,-1.75638,3.41178
Nc1cccc2c1C(=O)C(=c1[nH]c3cccc4cccc([nH]1)c43)C2,-4.64785,-2.15577,2.49208
CC(=O)N(CC(=O)OC(C)(C)C)c1ccccc1I,-5.67496,-1.90271,3.77225
O=C1N[C@H](c2ccccc2)C(=O)N[C@H]1c1ccccc1,-6.07333,-1.83955,4.23378
COC(=O)/C1=C/[C@H]2C[C@@H](/C=C(/c3ccccc3)C(=O)O1)C2,-5.59616,-2.48681,3.10935
O=S(=O)(NCCc1ccccc1)c1ccc(Cl)cc1Cl,-6.32614,-2.51341,3.81273
O=C1c2ccccc2N/C(=N\c2ccccc2)[C@@H]2CCCN12,-5.34678,-2.02145,3.32533
c1ccc(-c2cc(-c3ncccn3)c3c(n2)CCCC3)cc1,-5.45717,-2.6342,2.82297
c1ccc([N][N]c2ccccc2[SiH](c2ccccc2)c2ccccc2)cc1,-5.19654,-3.28231,1.91423
CCOC(=O)c1c(-c2nccs2)cc(-c2ccccc2)nc1C,-5.8014,-2.79808,3.00332
C[C@]1(O)C(=O)NC(=O)N([C@H]2C[C@H](O)[C@@H](CO)O2)[C@H]1O,-6.32677,-2.17933,4.14744
CC(=O)N1[N][C](c2ccc(O)cc2)C[C@@H]1c1ccccc1Cl,-5.11761,-2.31068,2.80693
O=[N+]([O-])c1cccc(/C=N/n2c(-c3ccncc3)n[nH]c2=S)c1,-5.6161,-3.74273,1.87337
O=C(NCCNC(=O)c1ccccn1)c1ccccn1,-5.6968,-2.48209,3.21471
Cc1cccc(C(=O)N/N=C/c2ccc(O)cc2)c1O,-5.27421,-2.62981,2.6444
CC(C)c1cc(C(=O)O)cc(C(C)C)c1O,-5.65929,-2.01105,3.64824
CC(=O)c1cccc(/C(C)=N/c2c(C)cccc2C)n1,-5.2522,-3.02977,2.22243
Cc1cc([N+](=O)[O-])ccc1/N=C/c1csc2ccccc12,-5.80281,-3.35768,2.44513
COc1cccc(/C=N/NC(N)=S)c1,-5.06075,-2.63205,2.4287
Cc1cc(C)c2c([S@@](=O)c3cccc(Cl)c3)c(C)oc2c1,-5.46602,-1.97602,3.49
C/C(=C/C(=O)c1ccccc1)NNC(=O)c1ccncc1,-5.39462,-2.86026,2.53436
c1cnc(N2[C@H]3Oc4ccccc4[C@@H]2Oc2ccccc23)nc1,-5.5173,-2.2732,3.2441
O=P(c1ccccc1O)(c1ccccc1O)c1ccccc1O,-5.50144,-2.1807,3.32074
O=C(c1ccccc1)c1ccc(C(=O)c2ccccc2)cc1,-5.84325,-3.25455,2.5887
CN1C(=O)/C(=C/C(=O)c2ccccc2)Nc2ccccc21,-5.15145,-3.01437,2.13708
CCSc1nc(C)cc(C(F)(F)F)c1C#N,-5.95083,-3.17646,2.77437
Cc1ccc(S(=O)(=O)c2c(C)oc3ccc(F)cc23)cc1,-5.94974,-2.37309,3.57665
Cc1cccc(C(=O)NS(=O)(=O)c2ccccc2[N+](=O)[O-])c1,-6.38685,-3.76165,2.6252
O=C(CCCCl)Nc1ccc(NC(=O)CCCCl)cc1,-5.23024,-1.72894,3.5013
