smiles,mp
O=C(Cc1ccccc1[N+](=O)[O-])c1ccccc1F,85
O=C(Cc1ccccc1[N+](=O)[O-])CN1C(=O)c2ccccc2C1=O,180.5
Fc1ccccc1-c1cc2ccccc2[nH]1,97.5
O=C1c2ccccc2C(=O)N1Cc1cc2ccccc2[nH]1,217.5
O=C(c1ccccc1)c1ccccc1NC(=O)C(Cl)Cl,113
O=C(Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1CCl,77.5
O=C1SCc2c(Cl)c(Cl)c(Cl)c(Cl)c21,182
Cc1ccc(S(=O)(=O)NCCNC(C)C)cc1,77
CC(C)N1CCN=C1c1ccccc1C(=O)c1ccc(Cl)cc1,115.5
CCN(CCNS(=O)(=O)c1ccc(C)cc1)C(=O)c1ccccc1C(=O)c1ccc(Cl)cc1,146
CCN1CCN=C1c1ccccc1C(=O)c1ccc(Cl)cc1,133
Cc1ccc(S(=O)(=O)NCCN(C(=O)c2ccccc2C(=O)c2ccccc2)C(C)C)cc1,136
CCN(C(=O)c1ccccc1C(=O)c1ccc(Cl)cc1)C(C)(C)CNS(=O)(=O)c1ccc(C)cc1,175.5
CCN1C(c2ccccc2C(=O)c2ccc(Cl)cc2)=NCC1(C)C,86
CCN(C(=O)c1ccccc1C(=O)c1ccc(F)cc1)C(C)(C)CNS(=O)(=O)c1ccc(C)cc1,155
CCN(C(=O)c1ccccc1C(=O)c1ccccc1)C(C)(C)CNS(=O)(=O)c1ccc(C)cc1,158.5
CCCN1CCN=C1c1ccccc1C(=O)c1ccc(Cl)cc1,132
Cc1ccc(C(=O)c2ccccc2C2=NCCN2C(C)C)cc1,88
O=Cc1ccccc1C(=O)c1ccccc1,65.5
O=Cc1ccccc1C(=O)c1ccc(Cl)cc1,112.5
COc1ccc(C(=O)c2ccccc2C=O)cc1,90.5
O=Cc1ccccc1C(=O)c1ccc(Br)cc1,106
O=C(O)c1ccccc1C(=O)c1ccccc1Cl,114
CCSCc1c(CCN(C)C)[nH]c2ccccc12,60
CN(C)CCc1[nH]c2ccccc2c1CSc1ccccc1,98
CN(C)CCc1c(CSc2ccccc2)c2ccccc2n1C,59
CN(C)CCc1[nH]c2ccccc2c1CSc1ccc(Cl)cc1,116
CN(C)CCSCc1c(CCN(C)C)[nH]c2ccccc12,53
CN(C)CCc1[nH]c2ccccc2c1CSC1=NCCS1,141.5
Cc1ccccc1SCc1c(CCN(C)C)[nH]c2ccccc12,135.5
CN(C)CCc1[nH]c2ccccc2c1CSc1nccn1C,153
CN(C)CCc1[nH]c2ccc(Br)cc2c1CSc1ccccc1,113.5
CCN(C)CCc1[nH]c2ccccc2c1CSc1ccccc1,78
COc1ccc2[nH]c(CCN(C)C)c(CSc3ccccc3)c2c1,86.5
Cc1cccc(SCc2c(CCN(C)C)[nH]c3ccccc23)c1,76.5
CN(C)CCc1[nH]c2ccccc2c1CC#N,124.5
CN(C)CCc1c(CC(C)(C)[N+](=O)[O-])c2ccccc2n1C,88.5
CN(C)CCc1[nH]c2ccccc2c1CC(C#N)(c1ccccc1)c1ccccc1,183
CC(=O)C(Cc1c(CCN(C)C)[nH]c2ccccc12)(c1ccccc1)c1ccccc1,136
CN(C)CCc1[nH]c2ccccc2c1CSC(=S)N(C)C,126.5
CN(C)CCc1c(CC(C#N)(c2ccccc2)c2ccccc2)c2ccccc2n1C,134.5
CN(C)CCc1[nH]c2ccccc2c1CC(N)=O,115.5
CN(C)CCc1c(CC(N)=O)c2ccccc2n1C,132.5
Cc1oc2cccc(OCC#N)c2c1C,51
Cc1cc2cc(OCCC#N)ccc2o1,74.5
Cc1oc2ccccc2c1OC(C)(C)C(N)=O,118
Cc1oc2ccccc2c1OC(C)(C)C#N,54
CC(=O)c1ccc(-c2ccc(Cl)c(Cl)c2)o1,115.5
CC(=O)c1ccc(-c2cccc(C(F)(F)F)c2)o1,107
CC(=O)Nc1ccc(-c2ccc(C(C)=O)o2)cc1,214.5
CC(=O)c1ccc(-c2ccc(S(C)(=O)=O)cc2)o1,162
CC(=O)c1ccc(-c2ccc(C#N)cc2)o1,115.5
O=C(c1oc(-c2ccc([N+](=O)[O-])cc2)cc1CCl)c1oc(-c2ccc([N+](=O)[O-])cc2)cc1CCl,173.5
CCC(=O)c1ccc(-c2ccc(Cl)cc2)o1,67
Cc1ccc2ccc(=O)oc2c1C,122.5
Cc1ccc2cc(C(=O)O)oc2c1C,236
COc1ccc(C(=O)CCCCCBr)c(Cl)c1Cl,52.5
CCCCC(=O)c1cc2oc(C(=O)O)cc2c(C)c1C,188.5
C=C(CCC)C(=O)c1cc2oc(C(=O)O)cc2c(C)c1C,172
CCCC1=Cc2c(c(C)c(C)c3oc(C(=O)O)cc23)C1=O,242
O=C1C=CC(=O)c2c1cccc2[N+](=O)[O-],161
Oc1ccc(Cc2ccc(OCc3ccccc3)cc2)cc1,95.5
N#Cc1cc(C(Cl)(Cl)Cl)ccc1Cl,67
N#Cc1ccc(C(Cl)(Cl)Cl)cc1C(Cl)(Cl)Cl,77
CSCCSc1c(O)cc(C)oc1=O,82
C=CCSc1c(O)cc(C)oc1=O,98.25
Cc1cc(O)c(SCCC(C)C)c(=O)o1,81.5
CCCCCCSc1c(O)cc(C)oc1=O,69.5
Cc1ccc(CSc2c(O)cc(C)oc2=O)cc1,134.5
Cc1cc(O)c(SCc2ccc(Cl)cc2)c(=O)o1,140
Cc1cc(O)c(SCC2CCCCC2)c(=O)o1,82.25
Cc1cc(O)c(SCc2cccc3ccccc23)c(=O)o1,170
Cc1cc(O)c(SCc2ccc(F)cc2)c(=O)o1,116.5
Cc1cc(O)c(SCc2ccccc2)c(=O)o1,128
CCCCCCCCCCCCS(=O)(=O)c1c(O)cc(C)oc1=O,78.5
CCCCCCS(=O)(=O)c1c(O)cc(C)oc1=O,65.5
Cc1cc(O)c(S(=O)(=O)CCC(C)C)c(=O)o1,101.5
Cc1cc(O)c(S(=O)(=O)CC2CCCCC2)c(=O)o1,104.8
Cc1cc(O)c(SCCc2ccccc2)c(=O)o1,100.8
Cc1cc(O)c(SC(C)(C)C)c(=O)o1,110.5
Cc1cc(O)c(S(=O)(=O)C(C)(C)C)c(=O)o1,119.5
Cc1cc(O)c(S(=O)(=O)Cc2ccc(F)cc2)c(=O)o1,181
Cc1cc(O)c(S(=O)(=O)CC(C)C)c(=O)o1,90.5
Cc1cc(O)c(S(=O)(=O)Cc2ccc(Cl)c(Cl)c2)c(=O)o1,144.5
Cc1cc(O)c(SCC(C)C)c(=O)o1,107
Cc1cc(O)c(SCc2ccccc2F)c(=O)o1,124
Cc1cc(O)c(SCc2ccc(Cl)cc2Cl)c(=O)o1,163.5
Cc1cc(O)c(SCc2cccc(F)c2)c(=O)o1,123.8
Cc1cc(O)c(SC23CC4CC(CC(C4)C2)C3)c(=O)o1,176
CN(S(C)(=O)=O)S(=O)(=O)N=C=O,140
CC(=O)Nc1ccc(C(=O)Nc2ccc(O)cc2)cc1,276
CC(=O)Nc1ccc(NC(=O)c2ccc(O)cc2)cc1,159.8
Cc1c(CC(=O)O)cccc1C(=O)c1ccc(Cl)cc1,152
CONC(=O)Cc1cccc(C(=O)c2ccc(Cl)cc2)c1C,150
O=C(O)CCc1cccc(C(=O)c2ccccc2)c1,70
O=C(O)CCCc1cccc(C(=O)c2ccccc2)c1,71
Cc1c(N)cccc1C(=O)c1ccc(Cl)cc1,65
Cc1c(CCC(=O)O)cccc1C(=O)c1ccc(Cl)cc1,146
Cc1c(CCCC(=O)O)cccc1C(=O)c1ccc(Cl)cc1,124
O=C(O)CCCc1cccc(C(=O)c2ccc(Cl)cc2)c1,94
Cc1c(C(=O)c2ccc(F)cc2)cccc1[N+](=O)[O-],64
COc1c(CC(C(=O)O)C(=O)O)cccc1C(=O)c1ccc(Cl)cc1,142
O=C(O)CCCCCCC1C(=O)CCC1=O,136
CCOC1=C(CCCCCCC(=O)O)C(=O)CC1,65.5
O=C(O)c1cccc(-n2c(-c3ccccc3)cc3c2-c2ccccc2CC3)c1,226.5
O=C(O)c1cccc(-n2c(-c3ccccc3)cc3c2CCCC3)c1,192
O=C(O)c1ccc(-n2c(-c3ccccc3)cc3c2CCCC3)cc1,245
O=C(O)c1cc(-n2c(-c3ccccc3)cc3c2-c2ccccc2CC3)ccc1O,216.5
O=C(O)c1ccc(-n2c(-c3ccccc3)cc3c2CCCC3)cc1O,194
O=C(O)c1ccccc1-n1c(-c2ccccc2)cc2c1-c1ccccc1CC2,177.5
CP(C)(=O)COC(=O)c1ccc(-n2c(-c3ccccc3)cc3c2-c2ccccc2CC3)cc1,172
O=C(O)c1cc(-n2c(-c3ccccc3)cc3c2CCCC3)ccc1O,210
CC(=O)Oc1ccc(-n2c(-c3ccccc3)cc3c2CCCC3)cc1C(=O)O,158.5
COC(=O)c1cc(-n2c(-c3ccccc3)cc3c2CCCC3)ccc1O,141.5
O=C(O)c1cc(-n2c(-c3ccccc3)cc3c2CCCC3)ccc1S,187
O=C(O)c1cc(-n2c(-c3ccccc3)cc3ccccc32)ccc1O,211
CC(=O)Oc1ccc(-n2c(-c3ccccc3)cc3ccccc32)cc1C(=O)O,179
O=C(O)c1cccc(-n2c(-c3ccc(Br)cc3)cc3c2CCCC3)c1,243
O=C(O)c1cc(-n2c(-c3cccc(C(F)(F)F)c3)cc3c2CCCC3)ccc1O,220
COc1ccc(-c2cc3c(n2-c2ccc(O)c(C(=O)O)c2)CCCC3)cc1,220
O=C(O)c1cc(-n2c(-c3ccccc3)cc3c2CCC3)ccc1O,198.5
O=C(O)c1cc(-n2c(-c3ccc(Br)cc3)cc3c2CCCC3)ccc1O,231.5
N#Cc1ccc(-c2cc3c(n2-c2ccc(O)c(C(=O)O)c2)CCCC3)cc1,243
O=C(O)c1cc(-n2c(-c3ccccc3)cc3c2CCc2ccccc2-3)ccc1O,224
COC(=O)c1cc(-n2c(-c3ccccc3)cc3c2CCc2ccccc2-3)ccc1O,165
CCOC(=O)c1cc(-n2c(-c3ccccc3)cc3c2CCc2ccccc2-3)ccc1O,134.5
CC(=O)Oc1ccc(-n2c3c(c(C(C)=O)c2-c2ccccc2)-c2ccccc2CC3)cc1C(=O)O,224.5
CC(=O)Oc1ccc(-n2c(-c3ccccc3)cc3c2CCc2ccccc2-3)cc1C(=O)O,195
O=C(O)c1cc(-n2c(-c3ccccc3)cc3c4ccccc4ccc32)ccc1O,242
COc1cccc(-c2cc3c(n2-c2ccc(O)c(C(=O)O)c2)CCCC3)c1,176
O=C(O)c1cc(-n2c(-c3ccccc3)cc3c2CCCC3)c(C(F)(F)F)cc1O,189
O=C(O)c1cc(-n2c(-c3ccc(F)cc3)cc3c2CCCC3)ccc1O,239.5
Cc1ccc(-c2cc3c(n2-c2ccc(O)c(C(=O)O)c2)CCCC3)cc1,213.5
CC(C)(C)c1ccc2c(c1)cc(-c1ccccc1)n2-c1ccc(O)c(C(=O)O)c1,272
CC(C)(C)c1cc2c(n1-c1ccc(O)c(C(=O)O)c1)CCc1ccccc1-2,259
O=C(O)c1cc(-n2c(-c3ccccc3)cc3c2CCCC3)cc(Cl)c1O,224
O=C(O)c1cc(-n2c(-c3ccc(O)cc3)cc3c2CCCC3)ccc1O,215.5
CC(=O)Nc1ccc(-n2c(-c3ccccc3)cc3c2CCCC3)cc1C(=O)O,193
Nc1ccc(-n2c(-c3ccccc3)cc3c2CCCC3)cc1C(=O)O,206
CC(=O)Nc1cc(-n2c(-c3ccccc3)cc3c2CCCC3)cc(C(=O)O)c1O,233
O=C(O)c1cc(-n2c(-c3ccccc3)cc3c2CCCC3)cc(Br)c1O,209.5
O=C(O)c1cc(-n2c(-c3ccc(Cl)c(Cl)c3)cc3c2CCCC3)ccc1O,210.5
O=C(O)c1cc(-n2c(-c3ccc(Br)cc3)cc3c2CCC3)ccc1O,215.5
O=C(O)c1cc(-n2c3c(c(-c4ccccc4)c2-c2ccccc2)CCCC3)ccc1O,246.5
O=C(O)c1cc(-n2c(-c3ccc([N+](=O)[O-])cc3)cc3c2CCCC3)ccc1O,241.5
COc1ccc2c(c1)CCc1c-2cc(-c2ccccc2)n1-c1ccc(O)c(C(=O)O)c1,233.5
O=C(O)c1cc(-n2c(-c3ccccc3)cc3c2CCc2cc(Cl)ccc2-3)ccc1O,250
O=C(O)c1cc(-n2c(-c3ccccc3)cc3c2Cc2ccccc2-3)ccc1O,203
O=C(O)c1cc(-n2c(-c3cccs3)cc3c2CCCC3)ccc1O,212
NC(=O)c1cc(-n2c(-c3ccccc3)cc3c2CCc2ccccc2-3)ccc1O,214
O=C(O)c1cc(-n2c(-c3ccccc3)cc3c2CCc2ccccc2-3)ccc1S,261
O=C(Cl)COc1ccc(Cl)cc1Cl,44.5
N#CCNC(=O)COc1ccc(Cl)cc1Cl,107.5
Nc1nc(NCc2ccccc2)nc(C(F)(F)F)n1,184
ClC(Cl)(Cl)c1nc(NCc2ccccc2)nc(C(Cl)(Cl)Cl)n1,96.75
Cc1ccc(-c2cc3cc(-c4ccccc4)ccc3o2)cc1,157
O=C(CCl)Nc1ccc(Cl)cc1C(=O)c1ccccc1,119.5
O=C(O)CNC(=O)C(c1ccccc1)c1ccccc1,114
COc1ccc2c(c1OC)CCN(Cc1ccccc1)Cc1cc3c(cc1C=C2)OCO3,130.5
c1ccnc2ccccc2c2ccccc2cc1,166
COc1ccc2c(c1OC)CN(Cc1ccccc1)CCc1cc3c(cc1CC2)OCO3,76.5
COc1ccc2c(c1OC)CN(C=O)CCc1cc(OCc3ccccc3)ccc1CC2,140.5
c1ccc2c(c1)nc1n2CCCSC1,156
O=C(O)C(=O)c1cc2ccccc2s1,175.9
O=C(O)C(=O)c1csc2ccccc12,92.5
O=C1c2ccccc2C(=O)N1OCc1cccs1,130.3
O=C1c2ccccc2C(=O)N1OCc1ccco1,145.3
O=C1c2ccccc2C(=O)N1OC1CCCC1,81.85
N#CC(C#N)=NC1=C(N2CCOCC2)CCC1,157.5
COC(=O)c1nc(C)c(-c2ccccc2)nc1N,162
COc1nc(C=C=O)c(-c2ccccc2)nc1N,162.5
COC(=O)c1ncc(-c2ccccc2)nc1N,228
Cc1ccc(-c2nc(-c3ccc(C)cc3)nc(-c3ccc(C)cc3)n2)cc1,283.5
Cc1cccc(-c2nc(-c3cccc(C)c3)nc(-c3cccc(C)c3)n2)c1,151.5
Cc1ccccc1-c1nc(-c2ccccc2C)nc(-c2ccccc2C)n1,110
CC(C)SN(c1ccccc1)P(=O)(c1ccccc1)c1ccccc1,149
OCCCCCNc1nccc2cc3c(cc12)OCO3,133.2
Cc1ccc(N2CCN(CCCCl)CC2)cc1,35
COc1ccccc1N1CCN(CCCOc2cccc3c2CCCC3=O)CC1,174.5
CCOc1ccccc1N1CCN(CCCOc2cccc3c2CCCC3=O)CC1,196.5
O=C1CN2Cc3ccccc3N=C2N1,285
CCOC(=O)CCNCc1ccccc1[N+](=O)[O-],138.2
Nc1ccc2c(c1)CN1CC(=O)NC1=N2,275
O=C1CN2Cc3c(O)cccc3N=C2N1,280
Cc1cccc([N+](=O)[O-])c1CO,67.5
O=[N+]([O-])c1cccc(Br)c1CBr,62.25
Nc1cccc(C(F)(F)F)c1CCl,158
C=C1c2c(C)cccc2NC(=O)N1CC(=O)OCC,152.5
CCOC(=O)CN1Cc2c(C)cccc2NC1=O,184.5
CNC(=S)NCCCNc1ccccn1,134.5
COn1c(C(F)(F)F)nc2ncc(Cl)cc21,91.5
CC(=O)On1c(C(F)(F)F)nc2ncc(Cl)cc21,103
CS(=O)(=O)On1c(C(F)(F)F)nc2ncc(Cl)cc21,136.7
CNC(=O)On1c(C(F)(F)F)nc2nc(Br)c(Cl)c(Br)c21,216
Sc1ccc(-n2cnnn2)cc1,121
Cn1nc2c(c1-c1ccc(Cl)cc1)Cc1ccccc1-2,132
Cn1nc(-c2ccc(Cl)cc2)c2c1-c1ccccc1C2,176
Clc1ccc(-c2[nH]nc3c2Cc2ccccc2-3)cc1,267
c1ccc2c(c1)CCc1c-2n[nH]c1-c1ccncc1,229
Cc1ccc(-c2[nH]nc3c2Cc2ccccc2-3)cc1,251
c1ccc2c(c1)CCCc1c-2n[nH]c1-c1ccncc1,218
COc1ccc2c(c1)-c1n[nH]c(-c3ccncc3)c1CCC2,200.5
CN(C)c1ccc(C=O)c(OCC#N)c1,124.5
CN(C)c1ccc2cc(C#N)oc2c1,70.5
CCN(CC)c1ccc2cc(C(=O)NN)oc2c1,128
Cc1nccn1S(=O)(=O)c1c[nH]cn1,158.5
CCc1nc(C)cn1S(=O)(=O)c1c[nH]cn1,147.5
CCCc1nccn1S(=O)(=O)c1c[nH]cn1,163.5
CC(C)c1nccn1S(=O)(=O)c1c[nH]cn1,119
COC(=O)Nc1nc2ccccc2n1C(=O)NC(=O)C(Cl)=C(Cl)Cl,231
COc1cccc(C2(C(N)=O)CCC3(CC2)OCCO3)c1,136.5
COc1cccc(C2(C(N)=O)CCCCC2)c1,121
N#Cc1cc(I)c(I)[nH]1,212
O=C1NCCN1C(c1ccccc1)c1ccccc1,201
O=C1NCCN1Cc1ccc2ccccc2c1,150.5
OCc1cccc2cc(Br)ccc12,73.5
ClCc1cccc2cc(Br)ccc12,74.5
O=C1NCCN1Cc1ccc2c(Br)cccc2c1,159.5
O=C1NCCN1Cc1c(Cl)cccc1Cl,157
O=C1NCCN1Cc1ccc(OCc2ccccc2)cc1,116
N#Cc1ccc(CN2CCNC2=O)cc1,130
CC(=O)Oc1ccc(Cl)cc1C(=O)O,147
CC(=O)Oc1ccc(Cl)cc1C(=O)Cl,36.5
N#Cc1c(N)oc2ccccc2c1=O,317.5
NC(=O)c1c(N)oc2ccccc2c1=O,265
N#Cc1c(N)oc2c(-c3ccccc3)cccc2c1=O,218
NC(=O)c1c(N)oc2c(-c3ccccc3)cccc2c1=O,234
COc1ccc2c(=O)c(C#N)c(N)oc2c1,300
N#Cc1c(N)oc2ccc(Cl)cc2c1=O,340
NC(=O)c1c(N)oc2ccc(Cl)cc2c1=O,320
COc1cccc(C(=O)O)c1OC(C)=O,139.5
COc1cccc(C(=O)Cl)c1OC(C)=O,52.5
COc1cccc2c(=O)c(C#N)c(N)oc12,300
COc1cccc2c(=O)c(C(N)=O)c(N)oc12,302
COc1ccc(OC(C)=O)c(C(=O)O)c1,156
COc1ccc2oc(N)c(C#N)c(=O)c2c1,320
COc1ccc2oc(N)c(C(N)=O)c(=O)c2c1,270
O=C(O)CCCCCC1=CCCC1=O,71
CC(=O)P(=Cc1ccccc1)(c1ccccc1)c1ccccc1,200.5
Fc1ccc(-c2ccccc2)c(F)c1,64
CC(=O)c1ccc(-c2ccc(F)cc2F)cc1,83
O=C(O)Cc1ccc(-c2ccc(F)cc2F)cc1,144
CC(=O)c1ccc(-c2ccc(F)cc2)c([N+](=O)[O-])c1,89
CC(=O)c1ccc(-c2ccc(F)cc2)c(N)c1,89.5
CC(=O)c1ccc(-c2ccc(F)cc2)c(F)c1,81.25
O=C(O)Cc1ccc(-c2ccc(F)cc2)c(F)c1,145
CC(=O)c1ccc(-c2ccc(Br)cc2F)cc1,95
CC(=O)c1ccc(-c2ccc(F)cc2Br)cc1,71
CC(=O)c1ccc(-c2ccc(Br)cc2)c(Br)c1,83.5
CC(=O)c1ccc(-c2ccc(Br)cc2)c(F)c1,90
N#CC1(c2ccccc2)CCC(O)CC1,107
O=C1CCC2(CCCc3ccccc32)CC1,110
